Modelo,Produto,AUC-ROC,AUC-PR,Precision@k,Recall@k,F1@k
DeepSAD,Escavadeira,0.7464430226013804,0.000406787001616496,0.0,0.0,0.0
DeepSAD,Motoniveladora,0.10941161958801038,0.001410309434404363,0.0,0.0,0.0
DeepSAD,Rolo compactador,0.14068369303826367,0.0006550790105831411,0.0,0.0,0.0
DeepSAD,Trator esteira,0.07668399393545593,0.0019523781427522344,0.0,0.0,0.0
DevNet,Escavadeira,0.962588544289424,0.009019744189095161,0.0,0.0,0.0
DevNet,Motoniveladora,0.9417170346614037,0.02487007773242433,0.02,0.09090909090909091,0.032786885245901634
DevNet,Rolo compactador,0.9718151654439744,0.02639747928629098,0.03,0.15789473684210525,0.050420168067226885
DevNet,Trator esteira,0.9342430149447694,0.028439246119696844,0.03,0.16666666666666666,0.05084745762711864
FEAWAD,Escavadeira,0.9492534336522607,0.002279409948749367,0.0,0.0,0.0
FEAWAD,Motoniveladora,0.5972770445294191,0.002940308003036904,0.0,0.0,0.0
FEAWAD,Rolo compactador,0.8235913670816718,0.003115978767359941,0.0,0.0,0.0
FEAWAD,Trator esteira,0.8536170673597575,0.01277543000549457,0.0,0.0,0.0
PReNet,Escavadeira,0.1719122801820749,0.0001321593859075494,0.0,0.0,0.0
PReNet,Motoniveladora,0.9137216808519386,0.014507842347739434,0.0,0.0,0.0
PReNet,Rolo compactador,0.9458007366594624,0.021278873366907865,0.02,0.10526315789473684,0.033613445378151266
PReNet,Trator esteira,0.5180961663417805,0.0035111569472370914,0.0,0.0,0.0
REPEN,Escavadeira,0.9757623152344559,0.00510191637320878,0.0,0.0,0.0
REPEN,Motoniveladora,0.8305682332140948,0.007028136076706194,0.0,0.0,0.0
REPEN,Rolo compactador,0.9377705397095978,0.01350450235062237,0.01,0.05263157894736842,0.016806722689075633
REPEN,Trator esteira,0.8869937188650637,0.016053715747667327,0.01,0.05555555555555555,0.016949152542372885
RankingSimples,Escavadeira,0.8098848105797377,0.020839009787887816,0.0,0.0,0.0
RankingSimples,Motoniveladora,0.3318294608617189,0.03817342815952669,0.0,0.0,0.0
RankingSimples,Rolo compactador,0.7922887145748988,0.055958084945640314,0.04,0.21052631578947367,0.06722689075630253
RankingSimples,Trator esteira,0.5268943855516294,0.06061173652469652,0.01,0.05555555555555555,0.016949152542372885
SubFraudGMM,Escavadeira,0.9941120150328994,0.03221659368078159,0.02,0.06060606060606061,0.03007518796992481
SubFraudGMM,Motoniveladora,0.9627903118779031,0.0587618149670715,0.1,0.45454545454545453,0.16393442622950818
SubFraudGMM,Rolo compactador,0.9808904412059898,0.07552285903864586,0.1,0.5263157894736842,0.16806722689075632
SubFraudGMM,Trator esteira,0.9759170759768131,0.08156707785501882,0.13,0.7222222222222222,0.22033898305084748
XGBOD,Escavadeira,0.9892765386020517,0.010094892156039455,0.0,0.0,0.0
XGBOD,Motoniveladora,0.9353953373627729,0.018788514467754203,0.0,0.0,0.0
XGBOD,Rolo compactador,0.9716934035493592,0.019479879244333788,0.0,0.0,0.0
XGBOD,Trator esteira,0.921301711067793,0.021340530558016796,0.0,0.0,0.0
